S. No,India / State,Total Population (in lakh),ST Population (in lakh),% STs in India/ State to total population of India/ State,% STs in the State to total ST population in India
India,India,12108.55,1045.46,8.6,NA
1,Andhra Pradesh,493.87,26.31,5.3,2.5
2,Arunachal Pradesh,13.84,9.52,68.8,0.9
3,Assam,312.06,38.84,12.4,3.7
4,Bihar,1040.99,13.37,1.3,1.3
5,Chhattisgarh,255.45,78.23,30.6,7.5
6,Goa,14.59,1.49,10.2,0.1
7,Gujarat,604.4,89.17,14.8,8.5
8,Haryana,253.51,NA,NA,NA
9,Himachal Pradesh,68.65,3.92,5.7,0.4
10,J&K,125.41,14.93,11.9,1.4
11,Jharkhand,329.88,86.45,26.2,8.3
12,Karnataka,610.95,42.49,7,4.1
13,Kerala,334.06,4.85,1.5,0.5
14,Madhya Pradesh,726.27,153.17,21.1,14.7
15,Maharashtra,1123.74,105.1,9.4,10.1
16,Manipur,28.56,11.67,40.9,1.1
17,Meghalaya,29.67,25.56,86.1,2.4
18,Mizoram,10.97,10.36,94.4,1
19,Nagaland,19.79,17.11,86.5,1.6
20,Orissa,419.74,95.91,22.8,9.2
21,Punjab,277.43,NA,NA,NA
22,Rajasthan,685.48,92.39,13.5,8.8
23,Sikkim,6.11,2.06,33.8,0.2
24,Tamil Nadu,721.47,7.95,1.1,0.8
25,Telangana,351.94,32.87,9.3,3.1
26,Tripura,36.74,11.67,31.8,1.1
27,Uttarakhand,100.86,2.92,2.9,0.3
28,Uttar Pradesh,1998.12,11.34,0.6,1.1
29,West Bengal,912.76,52.97,5.8,5.1
30,A & N Islands,3.81,0.29,7.5,0
31,Chandigarh,10.55,NA,NA,NA
32,D & N Haveli,3.44,1.79,52,0.2
33,Daman & Diu.,2.43,0.15,6.3,0
34,Delhi,167.88,NA,NA,NA
35,Lakshadweep,0.64,0.61,94.8,0.1
36,Puducherry,12.48,NA,NA,NA
